lon	lat	depth
-124.585956	42.087865	-18.008066
-124.579918	42.087882	-18.041786
-124.573880	42.087900	-18.074722
-124.567841	42.087916	-18.105465
-124.561803	42.087933	-18.136208
-124.555765	42.087949	-18.171747
-124.549726	42.087965	-18.219132
-124.543688	42.087981	-18.266699
-124.537650	42.087996	-18.314270
-124.531611	42.088011	-18.387214
-124.525573	42.088026	-18.468563
-124.519535	42.088040	-18.549922
-124.513496	42.088054	-18.648002
-124.507458	42.088068	-18.767494
-124.501419	42.088081	-18.887003
-124.495381	42.088094	-19.012373
-124.489343	42.088107	-19.168880
-124.483304	42.088119	-19.306111
-124.477266	42.088132	-19.443355
-124.471227	42.088143	-19.604720
-124.465189	42.088155	-19.769201
-124.459150	42.088166	-19.912062
-124.453112	42.088177	-20.064804
-124.447074	42.088187	-20.223731
-124.441035	42.088198	-20.382696
-124.434997	42.088207	-20.528301
-124.598059	42.092323	-17.970399
-124.592020	42.092341	-18.003266
-124.585981	42.092359	-18.030516
-124.579942	42.092377	-18.063856
-124.573904	42.092394	-18.096358
-124.567865	42.092411	-18.126520
-124.561826	42.092427	-18.156682
-124.555787	42.092444	-18.191810
-124.549749	42.092459	-18.238892
-124.543710	42.092475	-18.286157
-124.537671	42.092490	-18.333426
-124.531632	42.092505	-18.407214
-124.525593	42.092520	-18.489538
-124.519554	42.092534	-18.571873
-124.513516	42.092548	-18.671228
-124.507477	42.092562	-18.793988
-124.501438	42.092575	-18.916764
-124.495399	42.092589	-19.045511
-124.489360	42.092601	-19.205978
-124.483321	42.092614	-19.343466
-124.477282	42.092626	-19.480967
-124.471244	42.092638	-19.643008
-124.465205	42.092649	-19.808219
-124.459166	42.092660	-19.949501
-124.453127	42.092671	-20.100745
-124.447088	42.092682	-20.258224
-124.441049	42.092692	-20.415743
-124.435010	42.092702	-20.559434
-124.598084	42.096817	-17.999335
-124.592045	42.096835	-18.031994
-124.586006	42.096853	-18.058861
-124.579967	42.096871	-18.092287
-124.573928	42.096888	-18.124824
-124.567888	42.096905	-18.154876
-124.561849	42.096922	-18.184928
-124.555810	42.096938	-18.220116
-124.549771	42.096954	-18.267347
-124.543731	42.096969	-18.314765
-124.537692	42.096985	-18.362184
-124.531653	42.097000	-18.437223
-124.525614	42.097014	-18.520911
-124.519574	42.097029	-18.604610
-124.513535	42.097043	-18.705572
-124.507496	42.097056	-18.831856
-124.501456	42.097070	-18.958156
-124.495417	42.097083	-19.090511
-124.489378	42.097096	-19.255030
-124.483339	42.097108	-19.392866
-124.477299	42.097120	-19.530716
-124.471260	42.097132	-19.693391
-124.465221	42.097143	-19.859272
-124.459181	42.097155	-19.998915
-124.453142	42.097165	-20.148535
-124.447103	42.097176	-20.304402
-124.441063	42.097186	-20.460307
-124.435024	42.097196	-20.601892
-124.428985	42.097206	-20.748337
-124.422945	42.097215	-20.894811
-124.416906	42.097224	-21.041395
-124.410866	42.097232	-21.176780
-124.598110	42.101312	-18.028271
-124.592070	42.101330	-18.060721
-124.586031	42.101348	-18.087205
-124.579991	42.101365	-18.120718
-124.573951	42.101382	-18.153289
-124.567912	42.101399	-18.183231
-124.561872	42.101416	-18.213173
-124.555832	42.101432	-18.248422
-124.549793	42.101448	-18.295803
-124.543753	42.101464	-18.343371
-124.537713	42.101479	-18.390942
-124.531674	42.101494	-18.467231
-124.525634	42.101509	-18.552284
-124.519594	42.101523	-18.637346
-124.513554	42.101537	-18.739916
-124.507515	42.101551	-18.869724
-124.501475	42.101564	-18.999548
-124.495435	42.101577	-19.135511
-124.489395	42.101590	-19.304081
-124.483356	42.101602	-19.442266
-124.477316	42.101614	-19.580464
-124.471276	42.101626	-19.743773
-124.465236	42.101638	-19.910324
-124.459197	42.101649	-20.048329
-124.453157	42.101660	-20.196326
-124.447117	42.101670	-20.350578
-124.441077	42.101681	-20.504870
-124.435038	42.101690	-20.644350
-124.428998	42.101700	-20.788629
-124.422958	42.101709	-20.932937
-124.416918	42.101718	-21.077335
-124.410878	42.101727	-21.210218
-124.404839	42.101735	-21.343119
-124.398799	42.101743	-21.476044
-124.392759	42.101751	-21.609718
-124.386719	42.101758	-21.735338
-124.380679	42.101765	-21.860992
-124.374639	42.101772	-21.987064
-124.368600	42.101778	-22.113481
-124.362560	42.101784	-22.238864
-124.622296	42.105730	-17.889019
-124.616256	42.105749	-17.939990
-124.610216	42.105769	-17.975352
-124.604176	42.105787	-18.014749
-124.598136	42.105806	-18.054149
-124.592096	42.105824	-18.086235
-124.586055	42.105842	-18.112179
-124.580015	42.105859	-18.146154
-124.573975	42.105877	-18.179136
-124.567935	42.105894	-18.209344
-124.561895	42.105910	-18.239552
-124.555855	42.105926	-18.276596
-124.549815	42.105942	-18.325863
-124.543775	42.105958	-18.375318
-124.537735	42.105973	-18.424775
-124.531694	42.105988	-18.503110
-124.525654	42.106003	-18.590321
-124.519614	42.106017	-18.677542
-124.513574	42.106031	-18.782513
-124.507534	42.106045	-18.913754
-124.501494	42.106058	-19.045011
