           X            Y            Z
  -124.80251     44.07530     -0.80000
  -124.68100     44.03053     -0.80000
  -124.22054     43.74274     -0.80000
  -124.14379     43.68518     -0.80000
  -124.11182     43.63402     -0.80000
  -124.18217     43.51890     -0.80000
  -124.23333     43.41018     -0.80000
  -124.25891     43.28227     -0.80000
  -124.24612     43.14797     -0.80000
  -124.25891     43.02007     -0.80000
  -124.79612     44.06890     -1.20000
  -124.68100     44.01774     -1.20000
  -124.21414     43.78111     -1.20000
  -124.18217     43.71076     -1.20000
  -124.10542     43.65320     -1.20000
  -124.14379     43.55088     -1.20000
  -124.18856     43.50611     -1.20000
  -124.23333     43.39100     -1.20000
  -124.25891     43.27588     -1.20000
  -124.24612     43.13518     -1.20000
  -124.23972     43.08402     -1.20000
  -124.24612     43.02646     -1.20000
  -124.77693     44.04971     -1.60000
  -124.68740     44.02413     -1.60000
  -124.16298     43.87064     -1.60000
  -124.22693     43.80669     -1.60000
  -124.25891     43.67239     -1.60000
  -124.26531     43.43576     -1.60000
  -124.25252     43.25030     -1.60000
  -124.22054     43.14797     -1.60000
  -124.25252     43.03925     -1.60000
  -124.80891     44.06890     -2.00000
  -124.67461     44.01774     -2.00000
  -124.08624     43.90262     -2.00000
  -124.17577     43.83227     -2.00000
  -124.23333     43.76832     -2.00000
  -124.25891     43.63402     -2.00000
  -124.26531     43.44855     -2.00000
  -124.25891     43.24390     -2.00000
  -124.24612     43.15437     -2.00000
  -124.25252     43.05204     -2.00000
  -124.74496     44.03692     -2.40000
  -124.58507     44.03053     -2.40000
  -124.09903     43.90262     -2.40000
  -124.20135     43.84506     -2.40000
  -124.26531     43.80030     -2.40000
  -124.26531     43.74274     -2.40000
  -124.29089     43.67879     -2.40000
  -124.31007     43.63402     -2.40000
  -124.23333     43.60844     -2.40000
  -124.18856     43.56367     -2.40000
  -124.29089     43.48693     -2.40000
  -124.29728     43.40379     -2.40000
  -124.27810     43.26309     -2.40000
  -124.26531     43.14158     -2.40000
  -124.26531     43.02646     -2.40000
  -124.73216     44.05611     -2.80000
  -124.62984     44.05611     -2.80000
  -124.59147     44.03692     -2.80000
  -124.09903     43.87704     -2.80000
  -124.18856     43.84506     -2.80000
  -124.27170     43.80669     -2.80000
  -124.29089     43.71716     -2.80000
  -124.31007     43.65960     -2.80000
  -124.23972     43.59565     -2.80000
  -124.21414     43.56367     -2.80000
  -124.26531     43.50611     -2.80000
  -124.32926     43.45495     -2.80000
  -124.29089     43.35262     -2.80000
  -124.28449     43.26309     -2.80000
  -124.25252     43.21832     -2.80000
  -124.25891     43.14158     -2.80000
  -124.25252     43.04565     -2.80000
  -124.73216     44.04332     -3.20000
  -124.67461     44.06250     -3.20000
  -124.56589     44.03692     -3.20000
  -124.08624     43.89623     -3.20000
  -124.18217     43.84506     -3.20000
  -124.25891     43.79390     -3.20000
  -124.25891     43.70437     -3.20000
  -124.30368     43.66599     -3.20000
  -124.32286     43.64681     -3.20000
  -124.25891     43.62762     -3.20000
  -124.18856     43.60844     -3.20000
  -124.20775     43.55727     -3.20000
  -124.26531     43.49972     -3.20000
  -124.31647     43.47413     -3.20000
  -124.32926     43.44216     -3.20000
  -124.28449     43.41018     -3.20000
  -124.25891     43.37181     -3.20000
  -124.29728     43.34623     -3.20000
  -124.29728     43.31425     -3.20000
  -124.26531     43.25030     -3.20000
  -124.23972     43.20553     -3.20000
  -124.26531     43.14158     -3.20000
  -124.25891     43.09681     -3.20000
  -124.25891     43.03286     -3.20000
  -124.73216     44.04332     -3.60000
  -124.57868     44.01134     -3.60000
  -124.09263     43.89623     -3.60000
  -124.14379     43.86425     -3.60000
  -124.26531     43.80030     -3.60000
  -124.27170     43.74913     -3.60000
  -124.29089     43.66599     -3.60000
  -124.27810     43.61483     -3.60000
  -124.20775     43.60204     -3.60000
  -124.23333     43.51890     -3.60000
  -124.31647     43.47413     -3.60000
  -124.30368     43.40379     -3.60000
  -124.25891     43.36541     -3.60000
  -124.28449     43.32704     -3.60000
  -124.27810     43.27588     -3.60000
  -124.24612     43.22472     -3.60000
  -124.23333     43.16716     -3.60000
  -124.25891     43.12879     -3.60000
  -124.25891     43.03286     -3.60000
  -124.59147     43.99855     -4.00000
  -124.53391     43.99216     -4.00000
  -124.12461     43.90902     -4.00000
  -124.25252     43.81948     -4.00000
  -124.31007     43.67879     -4.00000
  -124.31647     43.64041     -4.00000
  -124.25252     43.61483     -4.00000
  -124.21414     43.60844     -4.00000
  -124.24612     43.50611     -4.00000
  -124.33565     43.47413     -4.00000
  -124.31647     43.34623     -4.00000
  -124.27810     43.26948     -4.00000
  -124.25252     43.17995     -4.00000
  -124.25252     43.09681     -4.00000
  -124.26531     43.02646     -4.00000
  -124.60426     43.96657     -4.40000
  -124.52751     43.97937     -4.40000
  -124.11821     43.89623     -4.40000
  -124.22054     43.83867     -4.40000
  -124.31007     43.83227     -4.40000
  -124.31647     43.76832     -4.40000
  -124.32286     43.68518     -4.40000
  -124.38042     43.65960     -4.40000
  -124.41879     43.62762     -4.40000
  -124.36124     43.60204     -4.40000
  -124.29728     43.59565     -4.40000
  -124.23972     43.60204     -4.40000
  -124.27810     43.51890     -4.40000
  -124.37403     43.48053     -4.40000
  -124.41879     43.43576     -4.40000
  -124.46356     43.42297     -4.40000
  -124.53391     43.39739     -4.40000
  -124.55949     43.33983     -4.40000
  -124.57868     43.26309     -4.40000
  -124.53391     43.21193     -4.40000
  -124.47635     43.25669     -4.40000
  -124.46356     43.32704     -4.40000
  -124.45717     43.37181     -4.40000
  -124.39961     43.38460     -4.40000
  -124.32926     43.36541     -4.40000
  -124.29728     43.34623     -4.40000
  -124.31647     43.30786     -4.40000
  -124.27170     43.25030     -4.40000
  -124.25252     43.17995     -4.40000
  -124.26531     43.02646     -4.40000
  -124.63623     43.92820     -4.80000
  -124.54670     43.94099     -4.80000
  -124.11821     43.89623     -4.80000
  -124.19496     43.87064     -4.80000
  -124.31647     43.85146     -4.80000
  -124.31647     43.74274     -4.80000
  -124.39961     43.67239     -4.80000
  -124.44438     43.61483     -4.80000
  -124.38042     43.58286     -4.80000
  -124.31007     43.56367     -4.80000
  -124.24612     43.55088     -4.80000
  -124.29728     43.53809     -4.80000
  -124.39321     43.50611     -4.80000
  -124.43798     43.43576     -4.80000
  -124.50833     43.43576     -4.80000
  -124.57228     43.39100     -4.80000
  -124.57868     43.33344     -4.80000
  -124.59786     43.27588     -4.80000
  -124.58507     43.19274     -4.80000
  -124.54031     43.16076     -4.80000
  -124.48914     43.19274     -4.80000
  -124.47635     43.24390     -4.80000
  -124.44438     43.32065     -4.80000
  -124.40600     43.37820     -4.80000
  -124.34845     43.34623     -4.80000
  -124.32286     43.30786     -4.80000
  -124.29728     43.25669     -4.80000
  -124.27810     43.20553     -4.80000
  -124.27170     43.12239     -4.80000
  -124.31007     43.09042     -4.80000
  -124.62344     43.92820     -5.20000
  -124.54031     43.96018     -5.20000
  -124.48275     43.96657     -5.20000
  -124.11821     43.88983     -5.20000
  -124.17577     43.86425     -5.20000
  -124.25252     43.85146     -5.20000
  -124.33565     43.84506     -5.20000
  -124.32926     43.78111     -5.20000
  -124.35484     43.70437     -5.20000
  -124.39961     43.67879     -5.20000
  -124.43158     43.61483     -5.20000
  -124.36124     43.61483     -5.20000
  -124.30368     43.61483     -5.20000
  -124.27170     43.59565     -5.20000
  -124.23972     43.58286     -5.20000
  -124.28449     43.55088     -5.20000
  -124.32926     43.51251     -5.20000
  -124.38042     43.50611     -5.20000
  -124.39961     43.48053     -5.20000
  -124.45717     43.43576     -5.20000
  -124.51472     43.42937     -5.20000
  -124.56589     43.41658     -5.20000
  -124.57868     43.37181     -5.20000
  -124.57868     43.32704     -5.20000
  -124.59786     43.30146     -5.20000
  -124.59786     43.23751     -5.20000
  -124.56589     43.19274     -5.20000
  -124.52112     43.18635     -5.20000
  -124.50193     43.21193     -5.20000
  -124.46996     43.26948     -5.20000
  -124.45717     43.33344     -5.20000
  -124.43158     43.37820     -5.20000
  -124.40600     43.38460     -5.20000
  -124.36124     43.36541     -5.20000
  -124.33565     43.35262     -5.20000
  -124.30368     43.31425     -5.20000
  -124.28449     43.26309     -5.20000
  -124.25891     43.22472     -5.20000
  -124.25891     43.14158     -5.20000
  -124.28449     43.07762     -5.20000
  -124.61065     43.94099     -5.60000
  -124.48914     43.97297     -5.60000
  -124.41240     43.99855     -5.60000
  -124.11821     43.90262     -5.60000
  -124.18856     43.85146     -5.60000
  -124.27170     43.81948     -5.60000
  -124.32926     43.75553     -5.60000
  -124.41879     43.64041     -5.60000
  -124.43158     43.61483     -5.60000
  -124.38042     43.60844     -5.60000
  -124.31647     43.60844     -5.60000
  -124.24612     43.60204     -5.60000
  -124.23333     43.58286     -5.60000
  -124.29089     43.51890     -5.60000
  -124.36124     43.50611     -5.60000
  -124.37403     43.46134     -5.60000
  -124.43158     43.44216     -5.60000
  -124.54670     43.42937     -5.60000
  -124.59147     43.37181     -5.60000
  -124.57868     43.34623     -5.60000
  -124.59147     43.30146     -5.60000
  -124.62344     43.25669     -5.60000
  -124.58507     43.20553     -5.60000
  -124.54670     43.16716     -5.60000
  -124.49554     43.21193     -5.60000
  -124.46996     43.25030     -5.60000
  -124.45717     43.30786     -5.60000
  -124.45717     43.35262     -5.60000
  -124.41240     43.38460     -5.60000
  -124.35484     43.36541     -5.60000
  -124.32286     43.32065     -5.60000
  -124.29089     43.25669     -5.60000
  -124.27170     43.20553     -5.60000
  -124.27810     43.10321     -5.60000
  -124.30368     43.05204     -5.60000
  -124.54670     43.96018     -6.00000
  -124.46356     43.97937     -6.00000
  -124.38682     43.97937     -6.00000
  -124.11182     43.88344     -6.00000
  -124.19496     43.87704     -6.00000
  -124.27810     43.82588     -6.00000
  -124.34845     43.77471     -6.00000
  -124.40600     43.69158     -6.00000
  -124.44438     43.64681     -6.00000
  -124.39961     43.60844     -6.00000
  -124.33565     43.60204     -6.00000
  -124.27170     43.60844     -6.00000
  -124.22054     43.58925     -6.00000
  -124.27810     43.53169     -6.00000
  -124.32926     43.50611     -6.00000
  -124.40600     43.47413     -6.00000
  -124.43158     43.43576     -6.00000
  -124.54670     43.42937     -6.00000
  -124.61065     43.39100     -6.00000
  -124.61065     43.37181     -6.00000
  -124.59147     43.33344     -6.00000
  -124.60426     43.31425     -6.00000
  -124.60426     43.26309     -6.00000
  -124.55310     43.20553     -6.00000
  -124.47635     43.21832     -6.00000
  -124.46356     43.28867     -6.00000
  -124.45077     43.32704     -6.00000
  -124.43158     43.37181     -6.00000
  -124.39321     43.37820     -6.00000
  -124.31647     43.32704     -6.00000
  -124.29089     43.25030     -6.00000
  -124.26531     43.17355     -6.00000
  -124.27810     43.10321     -6.00000
  -124.29089     43.05204     -6.00000
  -124.57868     43.96018     -6.40000
  -124.45717     43.97297     -6.40000
  -124.35484     43.98576     -6.40000
  -124.22693     43.97297     -6.40000
  -124.28449     43.84506     -6.40000
  -124.36763     43.73634     -6.40000
  -124.44438     43.63402     -6.40000
  -124.43798     43.56367     -6.40000
  -124.43158     43.49972     -6.40000
  -124.45717     43.46134     -6.40000
  -124.54670     43.42297     -6.40000
  -124.60426     43.38460     -6.40000
  -124.61705     43.36541     -6.40000
  -124.61705     43.33983     -6.40000
  -124.60426     43.32704     -6.40000
  -124.61705     43.27588     -6.40000
  -124.62344     43.21832     -6.40000
  -124.57228     43.18635     -6.40000
  -124.50833     43.18635     -6.40000
  -124.46996     43.23111     -6.40000
  -124.45717     43.30146     -6.40000
  -124.44438     43.34623     -6.40000
  -124.38682     43.35262     -6.40000
  -124.32286     43.31425     -6.40000
  -124.29728     43.27588     -6.40000
  -124.26531     43.25030     -6.40000
  -124.26531     43.15437     -6.40000
  -124.28449     43.08402     -6.40000
  -124.29089     43.04565     -6.40000
  -124.57868     43.96018     -6.80000
  -124.44438     43.99216     -6.80000
  -124.37403     44.01134     -6.80000
  -124.28449     43.99855     -6.80000
  -124.22693     43.98576     -6.80000
  -124.18856     43.89623     -6.80000
  -124.19496     43.85146     -6.80000
  -124.31647     43.80030     -6.80000
  -124.39961     43.71076     -6.80000
  -124.44438     43.63402     -6.80000
  -124.43798     43.53809     -6.80000
  -124.45077     43.48053     -6.80000
  -124.51472     43.44216     -6.80000
  -124.59147     43.40379     -6.80000
  -124.62344     43.37181     -6.80000
  -124.61065     43.34623     -6.80000
  -124.61065     43.30786     -6.80000
  -124.61065     43.28867     -6.80000
  -124.60426     43.19914     -6.80000
  -124.52751     43.16076     -6.80000
  -124.48275     43.17355     -6.80000
  -124.46356     43.24390     -6.80000
  -124.45717     43.32065     -6.80000
  -124.43158     43.37181     -6.80000
  -124.36763     43.36541     -6.80000
  -124.33565     43.33983     -6.80000
  -124.29728     43.27588     -6.80000
  -124.26531     43.24390     -6.80000
  -124.26531     43.16076     -6.80000
  -124.28449     43.09681     -6.80000
  -124.31647     43.04565     -6.80000
  -124.51472     44.04971     -7.20000
  -124.45717     44.03692     -7.20000
  -124.38682     44.01134     -7.20000
  -124.31007     44.00495     -7.20000
  -124.22693     43.99855     -7.20000
  -123.99670     43.96018     -7.20000
  -124.23972     43.86425     -7.20000
  -124.32286     43.79390     -7.20000
  -124.39961     43.70437     -7.20000
  -124.43158     43.64681     -7.20000
  -124.45077     43.57006     -7.20000
  -124.45077     43.53809     -7.20000
  -124.43798     43.50611     -7.20000
  -124.50833     43.44855     -7.20000
  -124.57868     43.42297     -7.20000
  -124.61705     43.39739     -7.20000
  -124.63623     43.36541     -7.20000
  -124.59786     43.32704     -7.20000
  -124.54670     43.32065     -7.20000
  -124.45717     43.32704     -7.20000
  -124.39321     43.34623     -7.20000
  -124.29728     43.28867     -7.20000
  -124.26531     43.22472     -7.20000
  -124.25891     43.13518     -7.20000
  -124.29089     43.05844     -7.20000
  -124.36124     42.97530     -7.20000
  -124.49554     44.04332     -7.60000
  -124.41879     44.01774     -7.60000
  -124.31007     44.01134     -7.60000
  -124.22693     44.00495     -7.60000
  -124.00949     43.96657     -7.60000
  -124.25252     43.83867     -7.60000
  -124.36124     43.77471     -7.60000
  -124.39961     43.70437     -7.60000
  -124.43798     43.64681     -7.60000
  -124.45717     43.53169     -7.60000
  -124.44438     43.49972     -7.60000
  -124.47635     43.44216     -7.60000
  -124.59147     43.41018     -7.60000
  -124.62344     43.35262     -7.60000
  -124.54031     43.32065     -7.60000
  -124.45077     43.33983     -7.60000
  -124.39961     43.36541     -7.60000
  -124.31647     43.31425     -7.60000
  -124.26531     43.21832     -7.60000
  -124.29089     43.10321     -7.60000
  -124.30368     42.97530     -7.60000
  -124.37403     42.96890     -7.60000
  -124.39961     44.01134     -8.00000
  -124.22054     43.99216     -8.00000
  -124.00949     43.96018     -8.00000
  -124.29728     43.82588     -8.00000
  -124.38682     43.73634     -8.00000
  -124.43798     43.62762     -8.00000
  -124.46996     43.54448     -8.00000
  -124.45717     43.49332     -8.00000
  -124.51472     43.45495     -8.00000
  -124.57228     43.42937     -8.00000
  -124.62344     43.39739     -8.00000
  -124.65542     43.36541     -8.00000
  -124.58507     43.29507     -8.00000
  -124.50193     43.29507     -8.00000
  -124.44438     43.33983     -8.00000
  -124.38682     43.37820     -8.00000
  -124.32926     43.33344     -8.00000
  -124.29728     43.24390     -8.00000
  -124.26531     43.18635     -8.00000
  -124.28449     43.10321     -8.00000
  -124.30368     43.03925     -8.00000
  -124.39961     44.01774     -8.40000
  -124.25891     44.01134     -8.40000
  -124.16298     43.99216     -8.40000
  -124.09263     43.97297     -8.40000
  -124.30368     43.83227     -8.40000
  -124.39321     43.74274     -8.40000
  -124.43798     43.66599     -8.40000
  -124.47635     43.58925     -8.40000
  -124.49554     43.51251     -8.40000
  -124.50833     43.45495     -8.40000
  -124.59147     43.40379     -8.40000
  -124.61705     43.37820     -8.40000
  -124.58507     43.28867     -8.40000
  -124.48275     43.32065     -8.40000
  -124.42519     43.35902     -8.40000
  -124.34205     43.35262     -8.40000
  -124.29728     43.25669     -8.40000
  -124.25252     43.19914     -8.40000
  -124.25891     43.10960     -8.40000
  -124.29728     43.05204     -8.40000
